ID,genres,,,,,,,,,,
1,comedy, family, animation, action, fantasy, horror,,,,,
2,action, drama, war, western, comedy, european,,,,,
3,romance, war, drama,,,,,,,,
4,comedy, drama, romance,,,,,,,,
5,thriller, drama, romance,,,,,,,,
6,western, drama,,,,,,,,,
7,drama, family, fantasy, romance, comedy,,,,,,
8,thriller, drama, crime,,,,,,,,
9,comedy, romance, drama,,,,,,,,
10,crime, drama,,,,,,,,,
11,history, drama,,,,,,,,,
12,thriller, crime, drama,,,,,,,,
13,horror,,,,,,,,,,
14,drama, crime,,,,,,,,,
15,thriller, horror, action,,,,,,,,
16,drama, romance,,,,,,,,,
17,drama, thriller, crime,,,,,,,,
18,drama, romance, family, action, comedy,,,,,,
19,romance, drama,,,,,,,,,
20,drama, romance,,,,,,,,,
21,romance, drama,,,,,,,,,
22,drama, war, action, romance,,,,,,,
23,drama, romance, sport,,,,,,,,
24,scifi, drama, war,,,,,,,,
25,drama, romance,,,,,,,,,
26,thriller, drama,,,,,,,,,
27,comedy, drama, romance,,,,,,,,
28,romance, family, fantasy,,,,,,,,
29,crime, comedy, thriller, drama,,,,,,,
30,fantasy, family, action,,,,,,,,
31,romance, drama, comedy,,,,,,,,
32,fantasy, comedy, drama, romance,,,,,,,
33,drama, romance,,,,,,,,,
34,romance, drama, family,,,,,,,,
35,comedy, drama, family,,,,,,,,
36,drama, sport,,,,,,,,,
37,romance, comedy, fantasy,,,,,,,,
38,thriller, romance, drama,,,,,,,,
39,drama, romance, war, action,,,,,,,
40,comedy,,,,,,,,,,
41,crime, drama, romance,,,,,,,,
42,romance, comedy, drama,,,,,,,,
43,western,,,,,,,,,,
44,comedy, drama, thriller, crime, romance,,,,,,
45,horror,,,,,,,,,,
46,romance, drama,,,,,,,,,
47,fantasy, thriller, scifi,,,,,,,,
48,thriller, war, drama,,,,,,,,
49,history, comedy, drama, romance,,,,,,,
50,drama,,,,,,,,,,
51,thriller, war, drama,,,,,,,,
52,drama, romance, war,,,,,,,,
53,drama, history, romance,,,,,,,,
54,horror, drama, romance,,,,,,,,
55,drama, romance, action,,,,,,,,
56,drama, war,,,,,,,,,
57,documentation, war,,,,,,,,,
58,western, war, romance,,,,,,,,
59,western, war, drama, history, romance,,,,,,
60,action, crime, thriller, family,,,,,,,
61,drama, crime, thriller,,,,,,,,
62,comedy, family,,,,,,,,,
63,romance, drama, fantasy, comedy,,,,,,,
64,romance, drama,,,,,,,,,
65,thriller, crime,,,,,,,,,
66,drama, romance,,,,,,,,,
67,drama,,,,,,,,,,
68,drama, war, romance,,,,,,,,
69,romance, drama,,,,,,,,,
70,horror, scifi, drama,,,,,,,,
71,romance, drama,,,,,,,,,
72,crime, thriller, drama,,,,,,,,
73,thriller, crime, drama,,,,,,,,
74,drama,,,,,,,,,,
75,drama, history, romance,,,,,,,,
76,war, documentation,,,,,,,,,
77,thriller, horror, drama,,,,,,,,
78,romance, family,,,,,,,,,
79,drama, romance, action,,,,,,,,
80,,,,,,,,,,,
81,war, documentation, history,,,,,,,,
82,comedy, thriller, horror,,,,,,,,
83,romance, drama,,,,,,,,,
84,drama, music, romance,,,,,,,,
85,war, documentation,,,,,,,,,
86,thriller, crime, drama,,,,,,,,
87,thriller, horror,,,,,,,,,
88,crime, drama, family, scifi, thriller,,,,,,
89,comedy, drama, sport,,,,,,,,
90,horror, scifi,,,,,,,,,
91,music, action, comedy, romance,,,,,,,
92,reality, family,,,,,,,,,
93,horror, comedy, drama,,,,,,,,
94,thriller, crime, drama,,,,,,,,
95,crime,,,,,,,,,,
96,thriller, crime, drama,,,,,,,,
97,fantasy, comedy,,,,,,,,,
98,comedy, war,,,,,,,,,
99,thriller, crime, drama,,,,,,,,
100,war, documentation,,,,,,,,,
101,drama, romance, war,,,,,,,,
102,action, animation, family, comedy, fantasy, romance,,,,,
103,romance, comedy,,,,,,,,,
104,horror, thriller, drama, romance, scifi,,,,,,
105,horror, fantasy, drama, romance, scifi,,,,,,
106,romance, comedy,,,,,,,,,
107,thriller, crime, romance, comedy,,,,,,,
108,drama, romance,,,,,,,,,
109,romance, drama,,,,,,,,,
110,comedy, action, thriller,,,,,,,,
111,drama, romance,,,,,,,,,
112,thriller, drama, crime,,,,,,,,
113,music,,,,,,,,,,
114,comedy, horror,,,,,,,,,
115,romance, drama,,,,,,,,,
116,comedy, drama, romance,,,,,,,,
