ID,genres
1,comedy
1,family
1,animation
1,action
1,fantasy
1,horror
2,action
2,drama
2,war
2,western
2,comedy
2,european
3,romance
3,war
3,drama
4,comedy
4,drama
4,romance
5,thriller
5,drama
5,romance
6,western
6,drama
7,drama
7,family
7,fantasy
7,romance
7,comedy
8,thriller
8,drama
8,crime
9,comedy
9,romance
9,drama
10,crime
10,drama
11,history
11,drama
12,thriller
12,crime
12,drama
13,horror
14,drama
14,crime
15,thriller
15,horror
15,action
16,drama
16,romance
17,drama
17,thriller
17,crime
18,drama
18,romance
18,family
18,action
18,comedy
19,romance
19,drama
20,drama
20,romance
21,romance
21,drama
22,drama
22,war
22,action
22,romance
23,drama
23,romance
23,sport
24,scifi
24,drama
24,war
25,drama
25,romance
26,thriller
26,drama
27,comedy
27,drama
27,romance
28,romance
28,family
28,fantasy
29,crime
29,comedy
29,thriller
29,drama
30,fantasy
30,family
30,action
31,romance
31,drama
31,comedy
32,fantasy
32,comedy
32,drama
32,romance
33,drama
33,romance
34,romance
34,drama
34,family
35,comedy
35,drama
35,family
36,drama
36,sport
37,romance
37,comedy
37,fantasy
38,thriller
38,romance
38,drama
39,drama
39,romance
39,war
39,action
40,comedy
41,crime
41,drama
41,romance
42,romance
42,comedy
42,drama
43,western
44,comedy
44,drama
44,thriller
44,crime
44,romance
45,horror
46,romance
46,drama
47,fantasy
47,thriller
47,scifi
48,thriller
48,war
48,drama
49,history
49,comedy
49,drama
49,romance
50,drama
51,thriller
51,war
51,drama
52,drama
52,romance
52,war
53,drama
53,history
53,romance
54,horror
54,drama
54,romance
55,drama
55,romance
55,action
56,drama
56,war
57,documentation
57,war
58,western
58,war
58,romance
59,western
59,war
59,drama
59,history
59,romance
60,action
60,crime
60,thriller
60,family
61,drama
61,crime
61,thriller
62,comedy
62,family
63,romance
63,drama
63,fantasy
63,comedy
64,romance
64,drama
65,thriller
65,crime
66,drama
66,romance
67,drama
68,drama
68,war
68,romance
69,romance
69,drama
70,horror
70,scifi
70,drama
71,romance
71,drama
72,crime
72,thriller
72,drama
73,thriller
73,crime
73,drama
74,drama
75,drama
75,history
75,romance
76,war
76,documentation
77,thriller
77,horror
77,drama
78,romance
78,family
79,drama
79,romance
79,action
81,war
81,documentation
81,history
82,comedy
82,thriller
82,horror
83,romance
83,drama
84,drama
84,music
84,romance
85,war
85,documentation
86,thriller
86,crime
86,drama
87,thriller
87,horror
88,crime
88,drama
88,family
88,scifi
88,thriller
89,comedy
89,drama
89,sport
90,horror
90,scifi
91,music
91,action
91,comedy
91,romance
92,reality
92,family
93,horror
93,comedy
93,drama
94,thriller
94,crime
94,drama
95,crime
96,thriller
96,crime
96,drama
97,fantasy
97,comedy
98,comedy
98,war
99,thriller
99,crime
99,drama
100,war
100,documentation
101,drama
101,romance
101,war
102,action
102,animation
102,family
102,comedy
102,fantasy
102,romance
103,romance
103,comedy
104,horror
104,thriller
104,drama
104,romance
104,scifi
105,horror
105,fantasy
105,drama
105,romance
105,scifi
106,romance
106,comedy
107,thriller
107,crime
107,romance
107,comedy
108,drama
108,romance
109,romance
109,drama
110,comedy
110,action
110,thriller
111,drama
111,romance
112,thriller
112,drama
112,crime
113,music
114,comedy
114,horror
115,romance
115,drama
116,comedy
116,drama
116,romance
117,western
117,romance
118,romance
118,comedy
119,drama
119,music
120,horror
120,drama
120,romance
120,scifi
121,drama
121,war
121,romance
122,horror
123,drama
123,western
123,romance
123,action
124,comedy
124,action
125,crime
125,horror
125,thriller
126,drama
126,history
127,documentation
127,history
128,drama
129,romance
129,drama
130,action
131,western
131,music
131,action
132,western
132,romance
132,action
133,horror
133,crime
133,thriller
134,crime
135,drama
135,family
136,drama
136,romance
136,war
136,action
137,drama
137,crime
138,action
138,drama
138,history
138,romance
139,drama
139,action
140,romance
140,drama
140,action
140,crime
141,romance
141,drama
142,horror
142,comedy
143,drama
143,music
143,romance
143,comedy
144,thriller
144,horror
145,fantasy
145,family
146,drama
146,comedy
146,romance
147,music
147,comedy
147,drama
148,romance
148,comedy
148,music
149,action
149,romance
149,family
150,thriller
150,comedy
150,horror
151,war
151,documentation
151,history
152,drama
152,war
152,history
153,western
153,action
153,drama
154,drama
154,romance
155,drama
155,war
156,drama
156,crime
156,romance
156,action
157,western
157,drama
157,action
158,comedy
158,crime
158,family
159,thriller
159,comedy
159,horror
160,drama
161,thriller
161,crime
161,drama
162,drama
162,crime
163,drama
163,romance
164,romance
164,comedy
164,fantasy
165,romance
165,drama
165,crime
166,comedy
166,drama
166,romance
166,crime
167,horror
167,drama
167,scifi
167,thriller
167,action
168,romance
168,drama
168,comedy
169,comedy
169,family
170,drama
170,crime
170,sport
171,crime
171,drama
171,romance
172,drama
172,romance
172,thriller
173,western
173,action
174,fantasy
174,family
174,horror
175,romance
175,action
175,drama
176,comedy
176,war
176,romance
177,scifi
177,horror
178,horror
178,war
178,thriller
179,comedy
179,action
180,fantasy
180,romance
180,drama
181,fantasy
181,comedy
182,drama
182,family
182,sport
183,documentation
183,war
183,history
184,thriller
184,crime
184,drama
185,romance
185,drama
185,history
185,action
185,comedy
185,european
186,drama
186,crime
187,western
188,western
188,romance
188,action
189,drama
189,romance
190,documentation
190,war
190,drama
191,drama
191,action
191,western
191,crime
192,war
192,documentation
192,history
193,western
193,action
193,music
193,comedy
194,documentation
194,history
194,war
195,comedy
195,romance
196,western
197,drama
197,family
197,fantasy
198,drama
199,thriller
199,crime
199,drama
199,horror
200,comedy
200,romance
201,comedy
201,romance
202,drama
202,war
203,drama
203,romance
204,drama
204,western
204,war
204,music
204,romance
205,drama
206,fantasy
206,action
207,drama
208,western
208,music
208,romance
208,comedy
208,action
209,drama
209,romance
209,crime
210,western
210,comedy
210,music
211,western
212,fantasy
212,comedy
212,romance
213,action
213,comedy
213,romance
214,comedy
215,drama
215,crime
216,drama
216,romance
216,comedy
216,war
217,comedy
217,western
217,family
217,music
217,romance
217,action
218,western
219,western
219,action
219,drama
219,romance
220,horror
220,scifi
220,thriller
221,thriller
221,crime
221,romance
221,action
221,sport
222,comedy
222,family
222,sport
222,romance
223,thriller
223,horror
224,thriller
224,comedy
224,crime
224,drama
224,history
224,romance
225,drama
225,family
226,action
226,crime
226,family
227,western
227,drama
227,music
227,action
228,comedy
228,drama
229,fantasy
229,comedy
229,family
230,horror
230,comedy
230,thriller
231,romance
231,thriller
231,drama
232,documentation
232,music
233,drama
233,romance
233,thriller
233,war
234,comedy
234,music
234,drama
235,drama
235,music
235,action
236,western
236,action
236,romance
236,drama
237,action
237,scifi
238,comedy
239,comedy
239,music
239,war
240,drama
240,crime
241,drama
242,horror
242,thriller
242,drama
242,romance
243,comedy
243,war
243,family
244,drama
244,romance
244,comedy
245,comedy
245,crime
246,action
246,comedy
246,family
246,romance
247,western
248,western
248,action
249,drama
249,romance
249,war
250,comedy
250,action
251,western
251,action
251,romance
252,western
252,romance
252,action
253,crime
253,drama
253,thriller
254,drama
255,western
255,crime
255,romance
255,action
256,crime
256,comedy
256,horror
257,crime
257,drama
258,comedy
258,romance
259,drama
260,comedy
260,romance
260,family
261,drama
261,music
261,romance
262,drama
263,horror
263,thriller
264,romance
264,drama
264,crime
265,western
265,action
265,romance
266,thriller
266,drama
266,romance
267,western
267,drama
267,action
268,romance
268,comedy
269,horror
269,action
269,comedy
270,comedy
270,romance
271,documentation
271,war
271,history
272,drama
273,thriller
273,crime
273,drama
274,comedy
274,thriller
275,comedy
275,romance
276,western
277,western
277,action
277,drama
277,music
278,western
279,action
280,western
281,western
281,drama
281,romance
281,action
282,family
282,fantasy
283,drama
283,crime
284,drama
284,comedy
284,romance
285,romance
285,comedy
285,drama
285,western
286,drama
286,war
286,action
287,western
288,comedy
289,drama
289,comedy
289,romance
290,western
290,sport
290,action
290,music
290,romance
291,thriller
292,romance
292,action
292,comedy
292,family
293,comedy
294,thriller
294,drama
294,horror
295,romance
296,comedy
296,action
